Binomial,bs_g,log10_bs,lognat_bs,,,
Aaptosyax_grypus,30000.00,4.477121255,10.30895266,,,
Abalistes_filamentosus,1375.00,3.138302698,7.22620901,,,
Abditomys_latidens,268.32,2.428653045,5.592180298,,,
Abeillia_abeillei,2.70,0.431363764,0.993251773,,,
Abeomelomys_sevia,55.63,1.74530906,4.018722624,,,
Ablennes_hians,1500.00,3.176091259,7.313220387,,,
Ablepharus_bivittatus,4.40,0.643452676,1.481604541,,,
Ablepharus_budaki,1.19,0.075546961,0.173953307,,,
Ablepharus_chernovi,1.99,0.298853076,0.688134639,,,
Ablepharus_darvazi,1.53,0.184691431,0.425267735,,,
Ablepharus_deserti,3.91,0.592176757,1.363537374,,,
Ablepharus_grayanus,0.60,-0.22184875,-0.510825624,,,
Ablepharus_kitaibelii,2.17,0.336459734,0.774727168,,,
Ablepharus_pannonicus,3.15,0.498310554,1.147402453,,,
Abramis_brama,6010.00,3.778874472,8.701180028,,,
Abrawayaomys_ruschii,63.01,1.79940948,4.143293444,,,
Abrocoma_bennetti,266.84,2.426250932,5.586649228,,,
Abrocoma_bennettii,254.25,2.405260962,5.538318035,,,
Abrocoma_boliviensis,158.07,2.198849453,5.063037973,,,
Abrocoma_budini,218.26,2.338974151,5.385687013,,,
Abrocoma_cinerea,194.16,2.288159763,5.268682561,,,
Abrocoma_famatina,218.26,2.338974151,5.385687013,,,
Abrocoma_shistacea,218.26,2.338974151,5.385687013,,,
Abrocoma_uspallata,214.69,2.331811816,5.369195127,,,
Abrocoma_vaccarum,218.26,2.338974151,5.385687013,,,
Abronia_anzuetoi,43.84,1.641870545,3.780546643,,,
Abronia_aurita,34.42,1.536810866,3.538637791,,,
Abronia_campbelli,36.18,1.558468563,3.58850648,,,
Abronia_chiszari,6.90,0.838849091,1.931521412,,,
Abronia_deppii,26.48,1.422917981,3.276389731,,,
Abronia_fimbriata,38.94,1.590395947,3.662022,,,
Abronia_frosti,23.02,1.362105319,3.136363403,,,
Abronia_fuscolabialis,24.37,1.386855529,3.193352868,,,
Abronia_gaiophantasma,23.02,1.362105319,3.136363403,,,
Abronia_graminea,15.10,1.178976947,2.714694744,,,
Abronia_leurolepis,19.89,1.298634783,2.990217093,,,
Abronia_lythrochila,30.27,1.481012421,3.410157123,,,
Abronia_martindelcampoi,26.48,1.422917981,3.276389731,,,
Abronia_matudai,15.01,1.176380692,2.708716646,,,
Abronia_meledona,30.27,1.481012421,3.410157123,,,
Abronia_mitchelli,19.89,1.298634783,2.990217093,,,
Abronia_mixteca,58.54,1.767452718,4.069710281,,,
Abronia_montecristoi,13.58,1.13289977,2.608598122,,,
Abronia_oaxacae,21.23,1.326949994,3.055415276,,,
Abronia_ochoterenai,15.50,1.190331698,2.740840024,,,
Abronia_ornelasi,15.50,1.190331698,2.740840024,,,
Abronia_ramirezi,13.58,1.13289977,2.608598122,,,
Abronia_reidi,12.77,1.106190897,2.54709867,,,
Abronia_salvadorensis,14.04,1.147367108,2.641910399,,,
Abronia_smithi,23.02,1.362105319,3.136363403,,,
Abronia_taeniata,11.41,1.057285644,2.434490164,,,
Abroscopus_albogularis,4.84,0.684845362,1.576914721,,,
Abroscopus_schisticeps,5.18,0.71432976,1.644805056,,,
Abroscopus_superciliaris,6.66,0.823474229,1.896119485,,,
Abrothrix_andinus,27.35,1.436957331,3.308716529,,,
Abrothrix_hershkovitzi,32.42,1.510813011,3.478775516,,,
Abrothrix_illuteus,47.79,1.679337031,3.866816413,,,
Abrothrix_jelskii,34.50,1.537819095,3.540959324,,,
Abrothrix_lanosus,27.35,1.436957331,3.308716529,,,
Abrothrix_longipilis,60.97,1.785116195,4.11038194,,,
Abrothrix_markhami,28.02,1.447468131,3.332918541,,,
Abrothrix_olivaceus,25.14,1.400365273,3.224460203,,,
Abrothrix_sanborni,24.70,1.392696953,3.206803244,,,
Abudefduf_abdominalis,75.20,1.876217841,4.320151231,,,
Abudefduf_hoefleri,5.00,0.698970004,1.609437912,,,
Abudefduf_saxatilis,122.71,2.088879956,4.809823848,,,
Abudefduf_septemfasciatus,200.00,2.301029996,5.298317367,,,
Abudefduf_sexfasciatus,34.77,1.541204691,3.548754946,,,
Abudefduf_sordidus,200.00,2.301029996,5.298317367,,,
Abudefduf_vaigiensis,13.80,1.139879086,2.624668592,,,
Abudefduf_whitleyi,165.00,2.217483944,5.105945474,,,
Aburria_aburri,1438.46,3.15789779,7.271328376,,,
Aburria_jacutinga,1370.00,3.136720567,7.222566019,,,
Acalyptophis_peronii,1060.17,3.025375511,6.966184552,,,
Acanthagenys_rufogularis,49.19,1.691876823,3.895690351,,,
Acanthaluteres_vittiger,698.33,2.84405781,6.548685117,,,
Acanthemblemaria_aspera,0.47,-0.329643928,-0.759033194,,,
Acanthemblemaria_spinosa,0.15,-0.826689783,-1.903523571,,,
Acanthidops_bairdi,16.00,1.204119983,2.772588722,,,
Acanthidops_bairdii,16.00,1.204119983,2.772588722,,,
Acanthis_flammea,13.00,1.113943352,2.564949357,,,
Acanthis_hornemanni,14.30,1.155336037,2.660259537,,,
Acanthisitta_chloris,7.02,0.846337112,1.948763218,,,
Acanthistius_sebastoides,359.55,2.555763735,5.884863479,,,
Acanthiza_apicalis,7.87,0.895974732,2.063058062,,,
Acanthiza_chrysorrhoa,9.42,0.974050903,2.242835089,,,
Acanthiza_chrysorrhoa_chrysorrhoa,9.90,0.995635195,2.292534757,,,
Acanthiza_chrysorrhoa_leachi,11.00,1.041392685,2.397895273,,,
Acanthiza_chrysorrhoa_normantoni,11.00,1.041392685,2.397895273,,,
Acanthiza_ewingii,7.82,0.893206753,2.056684555,,,
Acanthiza_inornata,7.26,0.860936621,1.982379829,,,
Acanthiza_iredalei,5.86,0.767897616,1.768149604,,,
Acanthiza_iredalei_iredalei,6.80,0.832508913,1.916922612,,,
Acanthiza_iredalei_rosinae,8.00,0.903089987,2.079441542,,,
Acanthiza_katherina,7.25,0.860338007,1.981001469,,,
Acanthiza_lineata,7.15,0.854306042,1.967112357,,,
Acanthiza_lineata_alberti,7.45,0.872156273,2.008214032,,,
Acanthiza_lineata_lineata,8.80,0.944482672,2.174751721,,,
Acanthiza_murina,8.60,0.934498451,2.151762203,,,
Acanthiza_nana,6.31,0.800029359,1.842135677,,,
Acanthiza_nana_modesta,8.10,0.908485019,2.091864062,,,
Acanthiza_nana_nana,7.20,0.857332496,1.974081026,,,
Acanthiza_pusilla,7.39,0.868644438,2.000127735,,,
Acanthiza_pusilla_apicalis,7.00,0.84509804,1.945910149,,,
Acanthiza_pusilla_diemenensis,10.00,1,2.302585093,,,
Acanthiza_pusilla_pusilla,12.00,1.079181246,2.48490665,,,
Acanthiza_reguloides,8.06,0.906335042,2.086913557,,,
Acanthiza_robustirostris,6.25,0.795880017,1.832581464,,,
Acanthiza_uropygialis,6.80,0.832508913,1.916922612,,,
Acanthocercus_adramitanus,77.56,1.8896378,4.35105183,,,
Acanthocercus_annectens,80.65,1.906604372,4.390118805,,,
Acanthocercus_atricollis,97.84,1.990516444,4.583333491,,,
Acanthocercus_cyanogaster,72.74,1.861773297,4.28689144,,,
Acanthocercus_phillipsii,20.68,1.315550534,3.02916705,,,
Acanthocercus_trachypleurus,8.53,0.930949031,2.143589362,,,
Acanthocercus_yemensis,50.84,1.706205542,3.928683446,,,
Acanthocercus_zonurus,10.03,1.001300933,2.305580602,,,
Acanthochelys_pallidipectoris,369.20,2.567261692,5.911338503,,,
Acanthocybium_solandri,47600.00,4.677606953,10.77058804,,,
Acanthodactylus_ahmaddisii,12.07,1.08170727,2.490723035,,,
Acanthodactylus_arabicus,11.35,1.054995862,2.429217744,,,
Acanthodactylus_aureus,6.61,0.820201459,1.888583654,,,
Acanthodactylus_bedriagai,8.92,0.950364854,2.188295947,,,
Acanthodactylus_beershebensis,17.88,1.252367514,2.88368277,,,
Acanthodactylus_blanci,22.18,1.345961542,3.099190982,,,
Acanthodactylus_blanfordii,10.44,1.018700499,2.345644582,,,
Acanthodactylus_boskianus,15.24,1.182984967,2.72392355,,,
Acanthodactylus_boueti,5.99,0.777426822,1.790091412,,,
Acanthodactylus_busacki,9.83,0.992553518,2.285438934,,,
Acanthodactylus_cantoris,21.44,1.331224781,3.065258336,,,
Acanthodactylus_dumerilii,7.37,0.867467488,1.997417706,,,
Acanthodactylus_erythrurus,11.79,1.071513805,2.467251715,,,
Acanthodactylus_felicis,5.69,0.755112266,1.738710248,,,
Acanthodactylus_gongrorhynchatus,3.45,0.537819095,1.238374231,,,
Acanthodactylus_grandis,28.70,1.457881897,3.356897123,,,
Acanthodactylus_guineensis,5.12,0.709269961,1.633154439,,,
Acanthodactylus_haasi,3.05,0.484299839,1.115141591,,,
Acanthodactylus_hardyi,7.10,0.851258349,1.960094784,,,
Acanthodactylus_lineomaculatus,15.02,1.176669933,2.709382646,,,
Acanthodactylus_longipes,6.40,0.806179974,1.85629799,,,
Acanthodactylus_maculatus,6.55,0.8162413,1.87946505,,,
Acanthodactylus_masirae,3.25,0.511883361,1.178654996,,,
Acanthodactylus_micropholis,6.61,0.820201459,1.888583654,,,
Acanthodactylus_nilsoni,9.74,0.988558957,2.276241118,,,
Acanthodactylus_opheodurus,4.85,0.685741739,1.578978705,,,
Acanthodactylus_orientalis,5.99,0.777426822,1.790091412,,,
Acanthodactylus_pardalis,8.92,0.950364854,2.188295947,,,
Acanthodactylus_robustus,8.38,0.923244019,2.125847914,,,
Acanthodactylus_savignyi,10.44,1.018700499,2.345644582,,,
Acanthodactylus_schmidti,22.51,1.352375495,3.113959655,,,
Acanthodactylus_schreiberi,19.44,1.288696261,2.967332799,,,
Acanthodactylus_scutellatus,9.23,0.965201701,2.222459049,,,
Acanthodactylus_senegalensis,5.12,0.709269961,1.633154439,,,
Acanthodactylus_spinicauda,4.85,0.685741739,1.578978705,,,
Acanthodactylus_taghitensis,3.88,0.588831726,1.355835154,,,
Acanthodactylus_tilburyi,6.61,0.820201459,1.888583654,,,
Acanthodactylus_tristrami,22.18,1.345961542,3.099190982,,,
Acanthodactylus_yemenicus,4.00,0.602059991,1.386294361,,,
Acanthogobius_flavimanus,88.48,1.946845114,4.482776538,,,
Acanthogobius_hasta,400.00,2.602059991,5.991464547,,,
Acanthonus_armatus,2.30,0.361727836,0.832909123,,,
Acanthopagrus__australis,4500.00,3.653212514,8.411832676,,,
Acanthopagrus_australis,4500.00,3.653212514,8.411832676,,,
Acanthopagrus_berda,3200.00,3.505149978,8.070906089,,,
Acanthopagrus_bifasciatus,68.20,1.833784375,4.222444565,,,
Acanthopagrus_butcheri,4000.00,3.602059991,8.29404964,,,
Acanthopagrus_latus,1500.00,3.176091259,7.313220387,,,
Acanthopagrus_morrisoni,2000.00,3.301029996,7.60090246,,,
Acanthopagrus_schlegelii,3200.00,3.505149978,8.070906089,,,
Acanthophis_antarcticus,383.89,2.584206799,5.950356053,,,
Acanthophis_laevis,384.00,2.584331224,5.950642553,,,
Acanthophis_praelongus,130.85,2.116773727,4.874051629,,,
Acanthophis_pyrrhus,383.89,2.584206799,5.950356053,,,
Acanthophis_rugosus,384.00,2.584331224,5.950642553,,,
"Acanthopsetta_nadeshnyi_Schmidt,",1200.00,3.079181246,7.090076836,,,
Acanthorhynchus_superciliosus,10.40,1.017033339,2.341805806,,,
Acanthorhynchus_tenuirostris,10.25,1.010723865,2.327277706,,,
Acanthorhynchus_tenuirostris_dubius,11.15,1.047274867,2.411439498,,,
Acanthorhynchus_tenuirostris_tenuirostris,12.90,1.11058971,2.557227311,,,
Acanthornis_magna,10.19,1.008174184,2.321406847,,,
Acanthornis_magnus,10.59,1.02489596,2.35991016,,,
Acanthosaura_armata,63.27,1.801197834,4.147411283,,,
Acanthosaura_capra,60.51,1.781827153,4.102808641,,,
Acanthosaura_crucigera,63.27,1.801197834,4.147411283,,,
Acanthosaura_lepidogaster,31.90,1.503790683,3.46260601,,,
Acanthosaura_nataliae,90.41,1.956216469,4.504354881,,,
Acanthostracion_polygonius,320.00,2.505149978,5.768320996,,,
Acanthurus_achilles,235.00,2.371067862,5.459585514,,,
Acanthurus_bahianus,106.30,2.026533265,4.666265285,,,
Acanthurus_chirurgus,35.00,1.544068044,3.555348061,,,
Acanthurus_coeruleus,118.00,2.071882007,4.770684624,,,
Acanthurus_dussumieri,451.23,2.654397966,6.111977187,,,
Acanthurus_grammoptilus,900.00,2.954242509,6.802394763,,,
Acanthurus_guttatus,288.00,2.459392488,5.66296048,,,
Acanthurus_leucopareius,227.00,2.356025857,5.424950017,,,
Acanthurus_leucosternon,310.20,2.491641793,5.737217251,,,
Acanthurus_lineatus,278.50,2.4448252,5.629418059,,,
Acanthurus_mata,255.85,2.407985421,5.544591335,,,
Acanthurus_nigricans,264.00,2.421603927,5.575949103,,,
Acanthurus_nigricauda,265.00,2.423245874,5.579729826,,,
Acanthurus_nigrofuscus,48.93,1.689575216,3.890390705,,,
Acanthurus_nigroris,98.70,1.994317153,4.592084946,,,
Acanthurus_olivaceus,296.13,2.471482407,5.690798547,,,
Acanthurus_pyroferus,154.00,2.187520721,5.036952602,,,
Acanthurus_thompsoni,148.75,2.172456974,5.002267044,,,
Acanthurus_tractus,106.33,2.026655814,4.666547466,,,
Acanthurus_triostegus,72.74,1.861773297,4.28689144,,,
Acanthurus_xanthopterus,677.25,2.830749014,6.518040481,,,
Accipiter_albogularis,261.31,2.41715603,5.565707442,,,
Accipiter_badius,137.66,2.138807765,4.924786877,,,
Accipiter_bicolor,334.14,2.523928468,5.811560067,,,
Accipiter_brachyurus,142.00,2.152288344,4.955827058,,,
Accipiter_brevipes,226.84,2.355719639,5.424244923,,,
Accipiter_butleri,332.94,2.522365975,5.807962294,,,
Accipiter_castanilius,165.05,2.217615529,5.106248458,,,
Accipiter_chilensis,376.00,2.575187845,5.929589143,,,
Accipiter_chionogaster,235.72,2.372396432,5.46264466,,,
Accipiter_cirrocephalus,194.87,2.289744985,5.27233267,,,
Accipiter_collaris,332.94,2.522365975,5.807962294,,,
Accipiter_cooperii,417.57,2.62072929,6.034452195,,,
Accipiter_erythrauchen,156.00,2.193124598,5.049856007,,,
Accipiter_erythronemius,129.50,2.112269768,4.863680881,,,
Accipiter_erythropus,123.43,2.091420729,4.815674194,,,
Accipiter_fasciatus,412.60,2.615529224,6.022478601,,,
Accipiter_fasciatus_didimus,329.00,2.517195898,5.796057751,,,
Accipiter_fasciatus_fasciatus,562.50,2.750122527,6.332391134,,,
Accipiter_francesiae,136.04,2.133666623,4.91294896,,,
Accipiter_francesii,162.50,2.210853365,5.090678002,,,
Accipiter_gentilis,1009.13,3.003947117,6.916843852,,,
Accipiter_gentilis_apache,937.00,2.971739591,6.842683282,,,
Accipiter_gentilis_atricapillus,1332.43,3.124644402,7.194759622,,,
Accipiter_gentilis_schvedowi,885.00,2.946943271,6.785587645,,,
Accipiter_griseiceps,254.57,2.405807223,5.539575847,,,
Accipiter_gularis,143.35,2.156397697,4.965289192,,,
Accipiter_gundlachi,675.00,2.829303773,6.514712691,,,
Accipiter_haplochrous,217.23,2.336919802,5.3809567,,,
Accipiter_henicogrammus,332.94,2.522365975,5.807962294,,,
Accipiter_henstii,1080.00,3.033423755,6.98471632,,,
Accipiter_hiogaster,342.75,2.534977463,5.837001318,,,
Accipiter_hiogaster_dampieri,281.00,2.44870632,5.638354669,,,
Accipiter_hiogaster_leucosomus,343.00,2.53529412,5.837730447,,,
Accipiter_hiogaster_pulchellus,280.00,2.447158031,5.634789603,,,
Accipiter_imitator,229.56,2.360896216,5.436164433,,,
Accipiter_luteoschistaceus,216.58,2.335618349,5.377959994,,,
Accipiter_madagascariensis,211.85,2.326028468,5.355878477,,,
